text,label
Can you recommend a doctor for back pain,1
Which department should I visit for chest pain,1
I have stomach pain which doctor should I see,1
Suggest a medical service for my headache,1
Where should I go if I feel dizzy,1
Can you suggest a clinic for diabetes checkup,1
Which medical service is suitable for high blood pressure,1
What doctor should I see for knee pain,1
Recommend a health service for my symptoms,1
Where should I go for heart problems,1
Which doctor treats migraines,1
Suggest a service for my cough,1
What department handles skin allergies,1
Who should I consult for anxiety,1
Which clinic is good for eye problems,1
I have breathing problems what service should I use,1
Can you suggest treatment options for back pain,1
Which doctor can help with insomnia,1
Where can I get treatment for stomach ulcers,1
Recommend a specialist for joint pain,1
What is hypertension,0
Explain diabetes to me,0
What causes headaches,0
Tell me about heart disease,0
What are the symptoms of flu,0
Explain high blood pressure,0
What is anxiety disorder,0
Tell me how diabetes affects the body,0
How does hypertension develop,0
What is a healthy diet,0
How can I improve my sleep,0
What are common symptoms of depression,0
Explain how exercise benefits health,0
What causes chest pain,0
What is cholesterol,0
How does the immune system work,0
What is mental health,0
How can I reduce stress,0
What are the symptoms of dehydration,0
Explain the benefits of walking daily,0
Hello,0
Hi there,0
Good morning,0
How are you today,0
Nice to meet you,0
What can you do,0
Can you help me,0
Thanks for your help,0
Thank you,0
That's helpful,0
Tôi bị đau lưng nên khám khoa nào,1
Tôi nên gặp bác sĩ nào khi bị đau đầu,1
Bạn có thể gợi ý dịch vụ y tế cho tôi không,1
Tôi bị đau dạ dày thì nên đi khám ở đâu,1
Khoa nào điều trị bệnh tim,1
Tôi nên khám bác sĩ nào khi bị khó thở,1
Gợi ý cho tôi dịch vụ khám bệnh phù hợp,1
Tôi bị chóng mặt thì nên đi khám ở đâu,1
Bác sĩ nào chữa bệnh mất ngủ,1
Tôi nên khám khoa nào khi bị dị ứng da,1
Bạn có thể đề xuất bác sĩ cho tôi không,1
Tôi cần khám sức khỏe tổng quát nên đi đâu,1
Tôi bị đau khớp thì nên gặp bác sĩ nào,1
Khám bệnh tiểu đường ở đâu,1
Tôi nên khám gì khi bị đau ngực,1
Bệnh đau đầu nên khám khoa nào,1
Tôi nên khám gì khi bị ho lâu ngày,1
Khó thở thì nên đi khám ở đâu,1
Đau bụng nên đi khám khoa nào,1
Bạn gợi ý giúp tôi dịch vụ y tế phù hợp,1
Bệnh tiểu đường là gì,0
Tăng huyết áp là gì,0
Nguyên nhân gây đau đầu là gì,0
Các triệu chứng của cúm là gì,0
Cholesterol là gì,0
Hệ miễn dịch hoạt động như thế nào,0
Thế nào là sức khỏe tâm thần,0
Tại sao cần tập thể dục,0
Chế độ ăn uống lành mạnh là gì,0
Ngủ bao nhiêu là đủ,0
Làm sao để giảm stress,0
Tại sao nên uống nhiều nước,0
Bệnh tim là gì,0
Nguyên nhân gây đau ngực là gì,0
Làm sao để cải thiện giấc ngủ,0
Các triệu chứng của mất nước là gì,0
Tại sao cần vận động mỗi ngày,0
Xin chào,0
Chào bạn,0
Bạn khỏe không,0
Chào buổi sáng,0
Cảm ơn bạn,0
Bạn có thể giúp tôi không,0
Bạn làm được những gì,0
Cảm ơn rất nhiều,0
Rất hữu ích,0
I have severe chest pain which doctor should I see,1
My knee hurts badly what specialist should I visit,1
Who should I consult for persistent headaches,1
Which hospital department treats stomach ulcers,1
Can you recommend a doctor for chronic back pain,1
Where should I go for treatment of heart problems,1
Suggest a specialist for anxiety problems,1
What medical service is suitable for high blood pressure,1
Which clinic should I visit for diabetes management,1
Who can help me with sleep disorders,1
Which doctor handles skin rashes,1
I feel dizzy frequently what department should I go to,1
Where can I get treatment for breathing issues,1
Can you suggest a healthcare service for my symptoms,1
Which doctor treats migraines,1
I have joint pain which specialist should I see,1
Recommend a medical service for stomach pain,1
What department treats digestive issues,1
Where should I go if I have chest tightness,1
Suggest a doctor for allergy treatment,1
Which doctor should I see for vision problems,1
Where can I get a health checkup,1
Recommend a clinic for general health screening,1
I need medical advice which specialist should I see,1
What doctor handles hormonal problems,1
Which department treats liver disease,1
Where should I go for mental health support,1
Who treats depression and anxiety,1
What service should I use for chronic fatigue,1
Where can I get help for persistent cough,1
What is diabetes,0
Explain hypertension,0
What causes chest pain,0
What are symptoms of flu,0
Tell me about heart disease,0
How does diabetes affect the body,0
Explain the immune system,0
What is cholesterol,0
What causes insomnia,0
Explain anxiety disorder,0
How can I stay healthy,0
What foods are good for heart health,0
How does exercise benefit the body,0
What causes headaches,0
Explain the benefits of meditation,0
How can I reduce stress,0
What are signs of dehydration,0
What does high blood pressure mean,0
Tell me about mental health,0
How can I improve sleep quality,0
Hello,0
Hi there,0
Good afternoon,0
Nice to meet you,0
Thank you very much,0
Can you help me with something,0
Thanks for your assistance,0
That's very helpful,0
Appreciate your help,0
Goodbye,0
Tôi bị đau ngực nên khám bác sĩ nào,1
Đau đầu nhiều ngày thì nên đi khám ở đâu,1
Tôi nên khám khoa nào khi bị đau dạ dày,1
Bạn có thể gợi ý bác sĩ cho tôi không,1
Tôi nên gặp bác sĩ nào khi bị mất ngủ,1
Khó thở thì nên khám ở đâu,1
Tôi bị dị ứng da nên khám khoa nào,1
Bạn gợi ý giúp tôi dịch vụ khám bệnh phù hợp,1
Đau khớp gối nên gặp bác sĩ nào,1
Tôi nên khám gì khi bị đau lưng,1
Tôi muốn kiểm tra sức khỏe tổng quát thì đi đâu,1
Bệnh tim nên khám khoa nào,1
Tôi bị chóng mặt nên khám ở đâu,1
Ho lâu ngày nên đi khám bác sĩ nào,1
Tôi nên khám khoa nào khi bị đau bụng,1
Bạn có thể gợi ý dịch vụ y tế cho tôi không,1
Tôi cần khám bệnh tiểu đường thì nên đi đâu,1
Nên khám bác sĩ nào khi bị đau vai,1
Đau mắt nên khám ở đâu,1
Tôi cần tư vấn bác sĩ cho bệnh huyết áp cao,1
Tôi nên khám gì khi bị đau ngực,1
Tôi muốn tìm bác sĩ điều trị mất ngủ,1
Nên khám khoa nào khi bị stress nhiều,1
Tôi nên đi khám ở đâu khi bị đau tim,1
Gợi ý cho tôi dịch vụ khám bệnh phù hợp với triệu chứng,1
Bệnh tiểu đường là gì,0
Tăng huyết áp là gì,0
Nguyên nhân gây đau đầu là gì,0
Triệu chứng của cúm là gì,0
Cholesterol là gì,0
Hệ miễn dịch hoạt động thế nào,0
Thế nào là sức khỏe tâm thần,0
Tại sao nên tập thể dục,0
Chế độ ăn uống lành mạnh là gì,0
Ngủ bao nhiêu là đủ,0
Làm sao để giảm stress,0
Vì sao cần uống đủ nước,0
Bệnh tim là gì,0
Nguyên nhân gây đau ngực là gì,0
Làm sao cải thiện giấc ngủ,0
Triệu chứng của mất nước là gì,0
Vì sao nên vận động mỗi ngày,0
Xin chào,0
Chào bạn,0
Bạn khỏe không,0
Chào buổi sáng,0
Cảm ơn bạn rất nhiều,0
Bạn có thể giúp tôi không,0
Bạn làm được những gì,0
Rất hữu ích,0
Cảm ơn vì đã hỗ trợ,0
Tạm biệt,0
I have had a strong headache for two days which doctor should I see,1
My stomach hurts a lot lately where should I get it checked,1
Which hospital department treats heart problems,1
Can you recommend a clinic for knee pain,1
Where should I go if I keep feeling dizzy,1
Which specialist handles chronic back pain,1
Is there a hospital that checks diabetes,1
I think I need to check my blood pressure where should I go,1
Which doctor should I visit for skin allergy,1
Can you suggest a clinic for eye irritation,1
My chest hurts sometimes which department should I visit,1
Where can I check if I have stomach ulcers,1
What specialist should I see for breathing problems,1
Is there a clinic that treats insomnia,1
Which hospital should I go to for migraine problems,1
Recommend a doctor for joint pain,1
Which clinic treats ear infections,1
Where can I check persistent cough,1
Which doctor treats thyroid problems,1
Can you recommend a hospital for heart checkup,1
Đau đầu nhiều ngày rồi tôi nên khám ở đâu,1
Tôi bị đau dạ dày nên đi bệnh viện nào,1
Đau lưng thì nên khám bác sĩ nào,1
Bạn có thể gợi ý phòng khám cho đau đầu gối không,1
Tôi nên đi đâu để kiểm tra huyết áp,1
Tôi bị ho lâu ngày nên gặp bác sĩ nào,1
Nên khám khoa nào khi bị đau ngực,1
Tôi muốn kiểm tra tiểu đường thì đi đâu,1
Phòng khám nào điều trị dị ứng da,1
Tôi nên khám ở đâu khi bị chóng mặt,1
Bị mất ngủ thì nên gặp bác sĩ nào,1
Tôi nên đi bệnh viện nào để kiểm tra tim,1
Đau răng thì nên khám bác sĩ nào,1
Có bệnh viện nào khám tai mũi họng tốt không,1
Đau khớp thì nên đi khám ở đâu,1
Khó thở thì nên khám khoa nào,1
Tôi nên khám ở đâu khi đau bụng dữ dội,1
Có phòng khám nào kiểm tra mắt không,1
Tôi bị đau nửa đầu nên khám ở đâu,1
Nên đi đâu để kiểm tra cholesterol,1
What causes headaches frequently,0
Why do I sometimes feel dizzy,0
How can I reduce back pain at home,0
Is chest pain always dangerous,0
What are symptoms of diabetes,0
How can I improve sleep quality,0
What medicine helps sore throat,0
Why do people get migraines,0
How long does cough usually last,0
What should I do if I feel tired all the time,0
Can stress cause stomach pain,0
Is dizziness normal after standing up,0
What are symptoms of high blood pressure,0
How can I treat mild fever at home,0
What food should I avoid with stomach pain,0
Why do my joints hurt sometimes,0
Is headache a sign of dehydration,0
How can I reduce eye strain,0
What causes insomnia,0
How can I reduce anxiety naturally,0
Đau đầu là do nguyên nhân gì,0
Tại sao tôi hay bị chóng mặt,0
Làm sao giảm đau lưng tại nhà,0
Đau ngực có nguy hiểm không,0
Triệu chứng của tiểu đường là gì,0
Làm sao ngủ ngon hơn vào ban đêm,0
Nên làm gì khi bị sốt nhẹ,0
Ho kéo dài có phải dấu hiệu bệnh nặng không,0
Đau dạ dày nên ăn gì,0
Tại sao tôi hay cảm thấy mệt mỏi,0
Chóng mặt khi đứng lên có bình thường không,0
Nguyên nhân gây mất ngủ là gì,0
Đau khớp có phải do tuổi tác không,0
Triệu chứng cao huyết áp gồm những gì,0
Làm sao giảm căng thẳng hiệu quả,0
Đau họng thì nên làm gì,0
Tại sao mắt tôi hay bị khô,0
Ho ban đêm là do đâu,0
Đau đầu buổi sáng có nguy hiểm không,0
Làm sao cải thiện sức khỏe tim mạch,0
My knee hurts badly where can I get it checked,1
Which doctor handles stomach problems,1
Where should I go for severe headache,1
Can you suggest a hospital for heart screening,1
Which clinic should I visit for skin rash,1
Is there a specialist for sleep disorders,1
Where can I check breathing problems,1
Recommend a clinic for allergy tests,1
Which hospital treats chronic cough,1
Where should I go for ear pain,1
Đau tai thì nên khám ở đâu,1
Tôi bị dị ứng nên gặp bác sĩ nào,1
Tôi muốn kiểm tra dạ dày thì đi đâu,1
Đau đầu gối thì nên khám khoa nào,1
Ho nhiều ngày rồi nên đi bệnh viện nào,1
Khám tim thì nên đến bệnh viện nào,1
Có phòng khám nào điều trị mất ngủ không,1
Tôi nên khám ở đâu khi bị đau ngực nhẹ,1
Tôi muốn kiểm tra sức khỏe tổng quát thì đi đâu,1
Đau mắt thì nên gặp bác sĩ nào,1
Why do I feel tired every afternoon,0
What causes stomach bloating,0
Is mild fever dangerous,0
How can I sleep better naturally,0
What are early signs of flu,0
Why does my throat feel dry,0
How long does muscle pain last,0
Can anxiety cause headache,0
Why do I sometimes feel weak,0
What causes dry eyes,0
Tại sao tôi hay đau đầu vào buổi tối,0
Nguyên nhân gây đau dạ dày là gì,0
Mất ngủ kéo dài có sao không,0
Ho khan là dấu hiệu bệnh gì,0
Làm sao giảm đau đầu nhanh,0
Đau họng có cần uống thuốc không,0
Tại sao tôi hay bị mệt,0
Triệu chứng cảm cúm gồm những gì,0
Làm sao giảm đau cơ sau khi tập thể dục,0
Đau mắt có thể do nguyên nhân nào,0
I have been having chest pain recently which doctor should I see,1
My back hurts a lot lately where should I get it checked,1
Which hospital department treats severe migraines,1
Can you recommend a clinic for stomach pain,1
Where should I go if my knee keeps hurting,1
Is there a hospital that can check my blood pressure,1
What specialist should I see for persistent cough,1
My eyes feel irritated which doctor should I visit,1
Can you suggest a hospital for diabetes screening,1
Where can I get treatment for skin allergies,1
I think I need to check my heart where should I go,1
Which clinic handles ear infections,1
Recommend a doctor for joint pain,1
Which department should I visit for breathing problems,1
Where can I check if I have high cholesterol,1
Is there a clinic for insomnia treatment,1
My stomach hurts badly which doctor should I see,1
Where should I go to treat severe headaches,1
Which hospital treats chronic back pain,1
Can you recommend a specialist for anxiety problems,1
Đau bụng nhiều ngày rồi tôi nên khám ở đâu,1
Tôi bị đau đầu liên tục nên gặp bác sĩ nào,1
Nên đi bệnh viện nào để kiểm tra tim,1
Đau lưng thì nên khám khoa nào,1
Bạn có thể gợi ý phòng khám cho đau đầu gối không,1
Tôi nên đi đâu để khám tiểu đường,1
Ho lâu ngày thì nên gặp bác sĩ nào,1
Tôi muốn kiểm tra huyết áp thì đi đâu,1
Có bệnh viện nào khám dị ứng da không,1
Tôi bị chóng mặt nên khám ở khoa nào,1
Đau ngực thì nên đi khám ở đâu,1
Có phòng khám nào kiểm tra mắt không,1
Tôi nên gặp bác sĩ nào khi bị đau răng,1
Bị mất ngủ thì nên khám bác sĩ nào,1
Nên đi đâu để kiểm tra cholesterol,1
Đau khớp nên khám chuyên khoa nào,1
Tôi bị khó thở nên đi khám ở đâu,1
Phòng khám nào điều trị đau nửa đầu,1
Có bệnh viện nào khám tai mũi họng tốt không,1
Tôi nên khám ở đâu khi bị đau dạ dày,1
What causes frequent headaches,0
Why do I keep feeling dizzy sometimes,0
How can I reduce back pain at home,0
Is chest pain always a serious problem,0
What are common symptoms of diabetes,0
How can I improve my sleep quality,0
What medicine helps with sore throat,0
Why do people get migraines,0
How long does a cough usually last,0
What should I do if I feel tired all the time,0
Can stress cause stomach pain,0
Is it normal to feel dizzy after standing up,0
What are the symptoms of high blood pressure,0
How can I treat a mild fever at home,0
What food should I avoid if I have stomach pain,0
Why do my joints hurt when it rains,0
Is headache a symptom of dehydration,0
How can I relieve eye strain,0
What causes insomnia,0
How can I reduce anxiety naturally,0
Đau đầu là do nguyên nhân gì,0
Tại sao tôi hay bị chóng mặt,0
Làm sao giảm đau lưng tại nhà,0
Đau ngực có nguy hiểm không,0
Triệu chứng của tiểu đường là gì,0
Làm sao ngủ ngon hơn vào ban đêm,0
Nên làm gì khi bị sốt nhẹ,0
Ho kéo dài có phải dấu hiệu bệnh nặng không,0
Đau dạ dày nên ăn gì,0
Tại sao tôi hay cảm thấy mệt mỏi,0
Chóng mặt khi đứng lên có bình thường không,0
Nguyên nhân gây mất ngủ là gì,0
Đau khớp có phải do tuổi tác không,0
Triệu chứng cao huyết áp gồm những gì,0
Làm sao giảm căng thẳng hiệu quả,0
Đau họng thì nên làm gì,0
Tại sao mắt tôi hay bị khô,0
Ho ban đêm là do đâu,0
Đau đầu buổi sáng có nguy hiểm không,0
Làm sao cải thiện sức khỏe tim mạch,0
I think I should get my stomach checked somewhere,1
Maybe I should see a doctor about this headache,1
Không biết đau ngực như vậy có nên đi bệnh viện không,1
Should I take medicine for my headache,0
I have chest pain is it dangerous,0
Tôi bị ho có cần uống thuốc không,0
hey my knee hurts a lot lately where do people usually go check this,1
ugh this headache again what could be causing it,0
hey my chest kinda hurts lately where do people usually go check that,1
my knee has been bothering me for weeks should i see someone,1
not sure if this headache is serious maybe i should get it checked somewhere,1
i think i should get my stomach checked any clinic for that,1
